,Date,Annual,JJAS,Year
89,12/31/1990,650.538,598.495,1990
90,12/31/1991,645.242,593.623,1991
91,12/31/1992,660.193,607.378,1992
92,12/31/1993,655.22,602.802,1993
93,12/31/1994,650.082,598.075,1994
94,12/31/1995,644.786,593.203,1995
95,12/31/1996,659.737,606.958,1996
96,12/31/1997,654.765,602.384,1997
97,12/31/1998,649.627,597.657,1998
98,12/31/1999,644.331,592.785,1999
99,12/31/2000,659.282,606.539,2000
100,12/31/2001,654.309,601.964,2001
101,12/31/2002,649.172,597.238,2002
102,12/31/2003,643.876,592.366,2003
103,12/31/2004,658.827,606.121,2004
104,12/31/2005,653.854,601.546,2005
105,12/31/2006,648.716,596.819,2006
106,12/31/2007,643.42,591.946,2007
107,12/31/2008,658.371,605.701,2008
108,12/31/2009,653.399,601.127,2009
109,12/31/2010,648.261,596.4,2010
110,12/31/2011,642.965,591.528,2011
111,12/31/2012,657.916,605.283,2012
112,12/31/2013,652.943,600.708,2013
113,12/31/2014,647.806,595.982,2014
114,12/31/2015,642.51,591.109,2015
115,12/31/2016,657.461,604.864,2016
116,12/31/2017,652.488,600.289,2017
117,12/31/2018,647.35,595.562,2018
118,12/31/2019,642.054,590.69,2019
119,12/31/2020,657.005,604.445,2020
120,12/31/2021,652.033,599.87,2021
121,12/31/2022,646.895,595.143,2022
122,12/31/2023,641.599,590.271,2023
123,12/31/2024,656.55,604.026,2024
124,12/31/2025,651.577,599.451,2025
125,12/31/2026,646.44,594.725,2026
126,12/31/2027,641.144,589.852,2027
127,12/31/2028,656.095,603.607,2028
128,12/31/2029,651.122,599.032,2029
129,12/31/2030,645.984,594.305,2030
130,12/31/2031,640.688,589.433,2031
131,12/31/2032,655.639,603.188,2032
132,12/31/2033,650.667,598.614,2033
133,12/31/2034,645.529,593.887,2034
134,12/31/2035,640.233,589.014,2035
135,12/31/2036,655.184,602.769,2036
136,12/31/2037,650.211,598.194,2037
137,12/31/2038,645.074,593.468,2038
138,12/31/2039,639.778,588.596,2039
139,12/31/2040,654.729,602.351,2040
140,12/31/2041,649.756,597.776,2041
141,12/31/2042,644.618,593.049,2042
142,12/31/2043,639.322,588.176,2043
143,12/31/2044,654.273,601.931,2044
144,12/31/2045,649.3,597.356,2045
145,12/31/2046,644.163,592.63,2046
146,12/31/2047,638.867,587.758,2047
147,12/31/2048,653.818,601.513,2048
148,12/31/2049,648.845,596.937,2049
149,12/31/2050,643.708,592.211,2050
150,12/31/2051,638.412,587.339,2051
151,12/31/2052,653.363,601.094,2052
152,12/31/2053,648.39,596.519,2053
153,12/31/2054,643.252,591.792,2054
154,12/31/2055,637.956,586.92,2055
155,12/31/2056,652.907,600.674,2056
156,12/31/2057,647.934,596.099,2057
157,12/31/2058,642.797,591.373,2058
158,12/31/2059,637.501,586.501,2059
159,12/31/2060,652.452,600.256,2060
160,12/31/2061,647.479,595.681,2061
161,12/31/2062,642.342,590.955,2062
162,12/31/2063,637.045,586.081,2063
163,12/31/2064,651.996,599.836,2064
164,12/31/2065,647.024,595.262,2065
165,12/31/2066,641.886,590.535,2066
166,12/31/2067,636.59,585.663,2067
